soldprice,size,monthly_fee,agent,municipality,municipality_tax_rate,Number of rooms,House type,Asking price,Balcony,Construction year,Operating cost,Letting form,Floor Number,Lift Availability,year
1550000,24.0,1873.0,Svensk,Göteborgs kommun,21.12,1.0,Apartment,1250000.0,0.0,1953.0,4200.0,Right of residence,5.0,0.0,2020
550000,21.5,1566.0,SkandiaMäklarna,Borås kommun,21.31,1.0,Apartment,550000.0,0.0,1955.0,4200.0,Right of residence,3.0,0.0,2020
275000,21.0,1802.0,Fastighetsbyrån,Borås kommun,21.31,1.0,Apartment,295000.0,0.0,1964.0,4200.0,Right of residence,4.0,0.0,2020
210000,23.5,1475.0,Mäklarhuset,Falköpings kommun,21.95,1.0,Apartment,190000.0,0.0,1966.0,2520.0,Right of residence,2.0,1.0,2020
90000,23.5,1817.0,Svensk,Tidaholms kommun,22.07,1.0,Apartment,89000.0,1.0,1959.0,1464.0,Right of residence,1.0,1.0,2020
2000000,22.0,1042.0,Fastighetsbyrån,Göteborgs kommun,21.12,1.0,Apartment,1950000.0,0.0,1927.0,3200.0,Right of residence,1.0,1.0,2020
1360000,24.0,1641.0,Erik,Göteborgs kommun,21.12,1.0,Apartment,1245000.0,0.0,1953.0,11645.0,Right of residence,6.0,1.0,2020
730000,22.5,1453.0,Fastighetsbyrån,Borås kommun,21.31,1.0,Apartment,695000.0,0.0,1936.0,2850.0,Right of residence,1.0,0.0,2020
2100000,23.0,1498.0,Stadshem,Göteborgs kommun,21.12,1.0,Apartment,1950000.0,0.0,1928.0,3000.0,Right of residence,2.0,0.0,2020
710000,22.0,1583.0,Mäklarhuset,Borås kommun,21.31,1.0,Apartment,750000.0,0.0,1961.0,3468.0,Right of residence,2.0,0.0,2020
490000,24.0,1781.0,Fastighetsbyrån,Uddevalla kommun,22.16,1.0,Apartment,495000.0,0.0,1961.0,4400.0,Right of residence,2.0,0.0,2020
180000,23.5,1475.0,Mäklarhuset,Falköpings kommun,21.95,1.0,Apartment,195000.0,0.0,1966.0,2760.0,Right of residence,2.0,1.0,2020
1900000,20.5,1385.0,Erik,Göteborgs kommun,21.12,1.0,Apartment,1795000.0,0.0,1890.0,1162.0,Right of residence,2.0,0.0,2020
1800000,20.0,1443.0,Erik,Göteborgs kommun,21.12,1.0,Apartment,1675000.0,0.0,1981.0,3620.0,Right of residence,2.0,0.0,2020
1395000,21.0,1930.0,Svensk,Mölndals kommun,20.51,1.0,Apartment,1395000.0,0.0,1961.0,1800.0,Right of residence,2.0,0.0,2020
2335000,22.0,2508.0,Svensk,Göteborgs kommun,21.12,1.0,Apartment,2335000.0,1.0,2020.0,2160.0,Right of residence,2.0,0.0,2020
500000,20.5,1422.0,Lysekilsmäklarna,Uddevalla kommun,22.16,1.0,Apartment,350000.0,0.0,1953.0,3120.0,Right of residence,2.0,0.0,2020
685000,23.0,3132.0,Stefanssons,Melleruds kommun,22.6,2.0,Villa,720000.0,0.0,1961.0,11594.0,Right of ownership,2.0,0.0,2020
675000,25.0,3132.0,Svensk,Vårgårda kommun,21.61,1.0,Villa,590000.0,0.0,1961.0,8900.0,Right of ownership,2.0,0.0,2020
1300000,22.5,1695.0,Fastighetsbyrån,Kungälvs kommun,21.44,1.0,Apartment,1195000.0,0.0,1961.0,9600.0,Right of residence,1.0,0.0,2020
1400000,23.5,1623.0,Fastighetsbyrån,Mölndals kommun,20.51,1.0,Apartment,1250000.0,1.0,1964.0,2000.0,Right of residence,2.0,0.0,2020
1550000,23.0,2040.0,Svensk,Göteborgs kommun,21.12,1.0,Apartment,1495000.0,0.0,1947.0,1200.0,Right of residence,2.0,0.0,2020
550000,24.5,1906.0,Svensk,Ulricehamns kommun,21.05,1.0,Apartment,550000.0,1.0,1956.0,4092.0,Right of residence,2.0,0.0,2020
1750000,25.0,1553.0,HusmanHagberg,Mölndals kommun,20.51,1.0,Apartment,1395000.0,0.0,1960.0,1868.0,Right of residence,2.0,0.0,2020
2330000,25.0,1836.0,Erik,Göteborgs kommun,21.12,1.0,Apartment,2050000.0,1.0,1939.0,1920.0,Right of residence,2.0,0.0,2020
1750000,25.0,2012.0,Västsvenska,Göteborgs kommun,21.12,1.5,Apartment,1675000.0,0.0,1978.0,2800.0,Right of residence,2.0,0.0,2020
2075000,24.0,1765.0,Erik,Göteborgs kommun,21.12,1.0,Apartment,1890000.0,0.0,1951.0,3620.0,Right of residence,2.0,0.0,2020
2500000,24.0,3132.0,Svensk,Sotenäs kommun,21.99,2.0,Villa,2080000.0,0.0,1886.0,19736.0,Right of ownership,2.0,0.0,2020
