address,house_type,solddate,soldprice,asking_price,size,monthly_fee,agent,municipality,year,month
5236,1,2013-08-19,2550000.0,2499000.0,173.0,3300000.0,22,42,0,7
32818,2,2013-08-16,2850000.0,2422500.0,172.0,3725000.0,22,18,0,7
21452,1,2013-10-07,3177777.0,2542221.6,171.0,3300000.0,10,42,0,9
1382,1,2013-05-07,7150000.0,6935500.0,174.0,3300000.0,22,11,0,4
24515,1,2013-03-07,800000.0,728000.0,174.0,3300000.0,22,44,0,2
5101,1,2013-02-07,4500000.0,4770000.0,173.0,3300000.0,22,33,0,1
34105,1,2013-06-30,4350000.0,3958500.0,173.0,3300000.0,10,42,0,5
26415,1,2013-06-18,4400000.0,3476000.0,174.0,3300000.0,22,28,0,5
45661,1,2013-06-15,1500000.0,1230000.0,174.0,3300000.0,22,16,0,5
14177,1,2013-08-19,5300000.0,4876000.0,172.0,3300000.0,22,11,0,7
34629,1,2013-07-06,3225000.0,3289500.0,174.0,3300000.0,22,18,0,6
7374,1,2013-05-22,2340000.0,2480400.0,174.0,3300000.0,22,4,0,4
977,1,2013-05-05,4900000.0,5439000.0,175.0,3300000.0,22,11,0,4
3532,1,2013-04-28,1995000.0,5455500.0,175.0,3300000.0,22,23,0,3
6633,1,2013-04-23,5700000.0,5472000.0,171.0,3300000.0,22,15,0,3
5756,1,2013-04-17,2325000.0,2720250.0,175.0,3300000.0,22,19,0,3
20043,1,2013-04-17,2100000.0,2205000.0,174.0,3300000.0,22,15,0,3
9896,1,2013-12-04,4900000.0,5292000.0,175.0,3300000.0,22,11,0,11
37031,1,2013-10-04,650000.0,500500.0,171.0,3300000.0,22,39,0,9
12480,1,2013-03-19,895000.0,697450.0,171.0,3300000.0,22,14,0,2
13502,1,2013-05-24,3075000.0,2884950.0,174.0,3300000.0,22,17,0,4
37927,1,2013-01-31,860000.0,894400.0,173.0,3300000.0,22,8,0,0
7707,1,2013-08-21,720000.0,784800.0,175.0,3300000.0,22,41,0,7
11734,1,2013-08-26,3495000.0,841183.3333333334,171.0,3300000.0,22,32,0,7
16008,1,2013-12-12,1850000.0,1739000.0,199.0,3300000.0,14,4,0,11
42907,1,2013-12-16,1825000.0,1898000.0,185.0,3300000.0,22,23,0,11
3434,1,2013-12-27,550000.0,2656375.0,196.0,3300000.0,22,39,0,11
34526,1,2013-12-30,3200000.0,3520000.0,193.0,3300000.0,22,45,0,11
4061,1,2013-12-17,920000.0,993600.0,174.0,3300000.0,22,23,0,11
27123,1,2013-12-12,1540000.0,1493800.0,174.0,3300000.0,14,4,0,11
35603,1,2013-11-12,1200000.0,1272000.0,175.0,3300000.0,22,43,0,10
37163,1,2013-11-25,1350000.0,1485000.0,172.0,3300000.0,43,12,0,10
43611,1,2013-11-21,800000.0,720000.0,171.0,3300000.0,22,39,0,10
20723,1,2013-08-22,3495000.0,812991.6666666666,171.0,3300000.0,43,26,0,7
44217,1,2013-11-14,6400000.0,6848000.0,172.0,3300000.0,22,11,0,10
33179,1,2013-01-11,1525000.0,1677500.0,171.0,3300000.0,22,22,0,0
5485,1,2013-10-28,2700000.0,2808000.0,174.0,3300000.0,10,42,0,9
19814,1,2013-10-21,3600000.0,3708000.0,171.0,3300000.0,6,11,0,9
9019,1,2013-10-18,2200000.0,1826000.0,174.0,3300000.0,14,4,0,9
